dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
Anka	Npmsg	Anko
.	Z	.

mlOgo	Rgp	mnogo
gOdine	Ncfpn	godina
.	Z	.

jA	Pp1-sn	ja
zaborAljam	Agpfsny	zaboralja
ćErka	Ncfsn	ćerka
.	Z	.

((laugh))	X	((laugh))
a	Cc	a
i	Cc	i
tI	Pp2-sn	ti
se	Px--sa	sebe
zaborAljaš	Vmr3s	zaboraljašti
.	Z	.

tU	Rgp	tu
Ima	Vmr3s	imati
((laugh))	X	((laugh))
.	Z	.

štO	Cs	što
da	Cs	da
ne	Qz	ne
mOže	Vmr3s	moći
((laugh))	X	((laugh))
.	Z	.

kAk/	X	kak/

kakO	Cs	kako
kAžeš	Vmr2s	kazati
.	Z	.

((sigh))	Npmsn	((sigh))
jAEdan	Npmsn	jAEdan
pUt	Ncmsan	put
u	Sa	u
knjAževac	Npmsan	knjaževac
.	Z	.

pa	Cc	pa
za	Sa	za
televIziju	Ncfsa	televizija
.	Z	.

pa	Cc	pa
me	Pp1-sa	ja
pItu	Vmp-sm	pitti
.	Z	.

kakO	Cs	kako
se	Px--sa	sebe
hrAnim	Vmr1s	hraniti
kakvA	Pd-nsn	kakav
je	Vcr3s	biti
Omladina	Npfsn	Omladina
.	Z	.

((laugh))	X	((laugh))
jA	Pp1-sn	ja
kAd	Cs	kad
raspalI	Vmr3s	raspaliti
u	Sa	u
jEdən	Npmsan	jEdən
restorAn	Ncmsn	restoran
.	Z	.

pOsle	Rgp	posle
na	Sa	na
televIziju	Ncfsa	televizija
unUk	Ncmsn	unuk
mi	Pp1-sd	ja
se	Px--sa	sebe
smEje	Vmr3s	smejati
.	Z	.

dObro	Rgp	dobro
si	Px--sd	sebe
se	Px--sa	sebe
bAbo	Ncfsv	baba
pokazAla	Vmp-sf	pokazati
.	Z	.

rEko	Vma1s	reći
kakO	Cs	kako
mlAdi	Agpmpny	mlad
.	Z	.

pa	Cc	pa
kakO	Cs	kako
.	Z	.

po	Sa	po
kafIći	Ncmpn	kafić
cElu	Agpfsay	ceo
nOć	Ncfsa	noć
sedE	Vmr3p	sedeti
cEl	Vmp-sm	ceti
dƏn	Ncmsn	dan
spE	Vmr3p	spati
.	Z	.

pa	Cc	pa
bAbe	Ncfpn	baba
rAde	Npmsn	rade
.	Z	.

pa	Cc	pa
dAj	Vmm2s	dati
dinAr	Ncmsn	dinar
•	X	•
dAj	Vmm2s	dati
lEba	Ncmsg	hleb
dAj	Vmm2s	dati
s	Sg	sa
lEba	Ncmsg	hleb
.	Z	.

pa	Cc	pa
Omladina	Ncfpn	omladina
danAšnja	Agpfsny	današnji
rEko	Vma1s	reći
nIšta	Pi3n-a	ništa
ne	Qz	ne
mIsli	Vmr3s	misliti
.	Z	.

Oni	Pp3mpn	oni
•	X	•
mI	Pp1-pn	ja
se	Px--sa	sebe
smejU	Vmr3p	smeti
Ali	Cc	ali
dObro	Rgp	dobro
si	Px--sd	sebe
se	Px--sa	sebe
setIla	Vmpf	setiti
kAd	Cs	kad
se	Pxsa	sebe
nesI	Vmr3s	nesiti
nadAla	Vmpf	nadati
da	Cs	da
te	Pp2-sa	ti
tOj	Pd-nsn	taj
pItaju	Vmr3p	pitati
.	Z	.

pa	Cc	pa
rEko	Vma1s	reći
znAm	Vmr1s	znati
kakO	Cs	kako
e	Vcr3s	biti
.	Z	.

dvojIcu	Ncfsa	dvojica
školovAmo	Pd-nsn	školovAmo
ni	Cc	ni
jedƏn	Mlcmsn	jedan
ne	Qz	ne
rAdi	Vmr3s	raditi
nIgde	Rgp	nigde
.	Z	.

dAj	Vmm2s	dati
dAj	Vmm2s	dati
dAj	Vmm2s	dati
.	Z	.

davAmo	Npmsn	davAmo
#dor#	Npmsn	#dor#
imA	Vmr3s	imati
sAg	Rgp	sad
i	Cc	i
da	Cs	da
nestAne	Vmr3s	nestati
ostarEli	Vmp-pm	ostareti
smo	Var1p	biti
pa	Cc	pa
.	Z	.

nesmO	Vcr1p-y	biti
kAdri	Agpmpny	kadar
vIše	Rgc	mnogo
.	Z	.

da	Cs	da
•	X	•
proizvOdimo	Vmr1p	proizvoditi
i	Cc	i
stOku	Ncfsa	stoka
i	Cc	i
lEba	Ncmsg	hleb
i	Cc	i
s	Sg	sa
lEba	Ncmsg	hleb
i	Cc	i
svE	Pi-nsn	sav
.	Z	.

jOš	Rgp	još
se	Px--sa	sebe
trUdimo	Vmr1p	truditi
alI	Cc	ali
.	Z	.

prI	Sl	pri
krAj	Ncmsn	kraj
.	Z	.

onO	Pd-nsn	onaj
.	Z	.

pa	Cc	pa
mI	Pp1-pn	ja
smo	Var1p	biti
radEli	Vmp-pm	radeti
na	Sa	na
imAnje	Ncnsa	imanje
.	Z	.

ot	Sg	od
ot	Sg	od
••	X	••
šesnAest	Mlc	šesnaest
gOdine	Ncfpn	godina
me	Pp1-sa	ja
dalI	Vmp-pm	dati
ovdE	Rgp	ovde
u	Sa	u
ovUj	Pd-fsa	ovaj
kUḱu	Ncfsa	kuća
bilA	Vmp-sf	biti
sam	Var1s	biti
desEta	Mlofsn	deseti
.	Z	.

imAlo	Vmp-sn	imati
krAve	Ncfpa	krava
imAlo	Vmp-sn	imati
kobIle	Ncfpn	kobila
nE	Qz	ne
imAlo	Vmp-sn	imati
trAktor	Ncmsn	traktor
nE	Qz	ne
imAlo	Vmp-sn	imati
nIšta	Pi3n-a	ništa
.	Z	.

imAlo	Vmp-sn	imati
pojAta	Ncfsn	pojata
tAm	Rgp	tamo
.	Z	.

tAm	Rgp	tamo
sedEla	Vmp-sf	sedeti
bAba	Ncfsn	baba
i	Cc	i
dEda	Ncmsn	deda
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
ovdE	Rgp	ovde
dOma	Rgp	doma
.	Z	.

jUtrom	Ncnsi	jutro
.	Z	.

kobIlku	Ncfsa	kobila
baba	Ncfsn	baba
hrAnu	Ncfsa	hrana
.	Z	.

odnOsi	Vmr3s	odnositi
na	Sa	na
njIvu	Ncfsa	njiva
mI	Pp1-sd	ja
svI	Pi-mpn	sav
otOdimo	Ncmpn	otodim
.	Z	.

jEdni	Mlcmpn	jedan
s	Si	sa
Ovce	Ncfpn	ovca
ednI	Mlcmpn	jedan
kod	Sg	kod
krAve	Ncfsg	krava
ednI	Mlcmpn	jedan
.	Z	.

u	Sa	u
vinOgrad	Ncmsan	vinograd
gradIne	Ncfsg	gradina
svE	Pi-nsn	sav
.	Z	.

pOlje	Ncnsn	polje
.	Z	.

pE	Mlc	pet
šesnAes	Ncfpn	šesnaea
Ektara	Npmsg	Ektar
mOre	Vmr3s	moći
imAnje	Ncnsa	imanje
bilO	Vmp-sn	biti
.	Z	.

pOsle	Rgp	posle
držAva	Ncfsn	država
uzEla	Vmp-sf	uzeti
nEkolko	Rgp	nekoliko
sƏg	Rgp	sad
ni	Cc	ni
ga	Pp3msa	on
vratIli	Vmp-pm	vratiti
kAd	Cs	kad
nesmO	Var1p	biti
kAdri	Agpmpny	kadar
da	Cs	da
ga	Pp3msa	on
rabOtimo	Vmr1p	rabotati
.	Z	.

unUkat	Ncmsn-t	unuk
baga/	Z	baga/

bajAgi	Npmsn	bajAgi
.	Z	.

ne	Qz	ne
rAdi	Vmr3s	raditi
ni	Qo	ni
sIn	Ncmsn	sin
nIgde	Rgp	nigde
ni	Cc	ni
•	X	•
ni	Qo	ni
unUk	Ncmsn	unuk
.	Z	.

pšenIcu	Ncfsa	pšenica
kukUruz	Ncmsan	kukuruz
.	Z	.

livAde	Ncfpn	livada
se	Px--sa	sebe
kosIle	Vmp-pf	kositi
dEteline	Ncfpn	detelina
sEno	Ncnsa	selo
.	Z	.

tOj	Pd-nsn	taj
se	Px--sa	sebe
kosIlo	Vmp-sn	kositi
rUčno	Agpnsny	ručni
.	Z	.

sa	Si	sa
sRp	Ncmsan	srp
smo	Var1p	biti
žEli	Vmp-pm	žeti
.	Z	.

pa	Cc	pa
snOpje	Ncnsa	snopje
vezUvano	Agpnsny	vezuvan
pa	Cc	pa
na	Sa	na
mašInu	Ncfsa	mašina
.	Z	.

vRšeno	Appnsny	vršiti
pa	Cc	pa
po	Sa	po
trIes	Mlc	trideset
dUše	Vmr3s	duhati
.	Z	.

rAdnici	Ncmpn	radnik
dOk	Cs	dok
se	Px--sa	sebe
vršE	Vmr3p	vršiti
.	Z	.

pa	Cc	pa
pOse	Rgp	posle
tOj	Pd-nsn	taj
se	Px--sa	sebe
razvRća	Px--sa	razvRća
.	Z	.

mEse	Vmr3p	mesiti
dAna	Agpfsny	dan
vRša	Ncfsn	vrša
trAje	Vmr3s	trajati
.	Z	.

pa	Cc	pa
smo	Var1p	biti
sas	Si	sa
kobIle	Ncfpa	kobila
vozIli	Vmp-pm	voziti
.	Z	.

ǵUbre	Z	ǵUbre
jA	Pp1-sn	ja
i	Cc	i
On	Pp3msn	on
s	Sg	sa
rUčno	Rgp	ručno
smo	Var1p	biti
tovarIli	Vmp-pm	tovariti
.	Z	.

po	Sa	po
desetInu	Ncfsa	desetina
kOla	Ncnsg	kolo
danAs	Rgp	danas
istEramo	Vmr1p	isterati
tAm	Rgp	tamo
.	Z	.

od	Sg	od
•	X	•
kOlibu	Ncfsa	koliba
ǵUbre	Npfsg	ǵUbra
na	Sa	na
nj/	Npmsan	nj/

na	Sa	na
njIve	Ncfpa	njiva
.	Z	.

pa	Cc	pa
pOse	Rgp	posle
smo	Var1p	biti
školuvAli	Vmp-pm	školuvati
.	Z	.

i	Cc	i
sIna	Ncmsay	sin
.	Z	.

i	Cc	i
praIli	Vmp-pm	praviti
smo	Var1p	biti
ovUj	Pd-fsa	ovaj
plEvnju	Ncfsa	plevnja
ovdEkaj	Rgp	ovde
.	Z	.

pa	Cc	pa
smo	Var1p	biti
.	Z	.

tagAj	Rgp	tada
kupuvAli	Vmp-pm	kupovati
trAktor	Ncmsn	traktor
pa	Cc	pa
.	Z	.

prIkolicu	Ncfsa	prikolica
pa	Cc	pa
plUgovi	Ncmpn	plug
pa	Cc	pa
drljAča	Ncfsn	drljača
pa	Cc	pa
tanjirAča	Qr	tanjirAča
.	Z	.

pa	Cc	pa
frEza	Ncfsn	freza
ovA	Pd-fsn	ovaj
mAla	Ncfsn	mala
pa	Cc	pa
.	Z	.

ssvE	Qr	ssvE
.	Z	.

tOj	Pd-nsn	taj
s	Z	sa
svE	Pi-nsa	sav
((XXX))	X	((xxx))
.	Z	.

od/	Z	od/

od	Sg	od
stOku	Ncfsa	stoka
.	Z	.

odE	Rgp	ovde
se	Px--sa	sebe
tO	Pd-nsn	taj
/	Z	/
.	Z	.

pRva	Mlofsn	prvi
od	Sg	od
cIglu	Ncfsa	cigla
u	Sa	u
selO	Ncnsa	selo
.	Z	.

a	Cc	a
ovUj	Pd-fsa	ovaj
smo	Var1p	biti
praIli	Vmp-pm	praviti
kAd	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
dOšla	Vmp-sf	doći
•	X	•
s	Si	sa
njEga	Pp3msa	on
.	Z	.

i	Cc	i
tOj	Pd-nsn	taj
smo	Var1p	biti
.	Z	.

i	Cc	i
školuvAli	Vmp-pm	školuvati
sIna	Ncmsay	sin
i	Cc	i
tOj	Pd-nsn	taj
smo	Var1p	biti
praIli	Vmp-pm	praviti
i	Cc	i
tEj	Npmsn	Tej
mašIne	Ncfpa	mašina
kupuvAli	Vmp-pm	kupovati
.	Z	.

dEset	Mlc	deset
krAve	Ncfpa	krava
smo	Var1p	biti
čuvAli	Vmp-pm	čuvati
i	Cc	i
dvE	Mlcf-n	dva
kobIle	Ncfsg	kobila
.	Z	.

svE	Pi-nsn	sav
od	Sg	od
stOku	Ncfsa	stoka
.	Z	.

po	Sa	po
dvA	Mlc	dva
trIes	Mlc	trideset
brAva	Ncmsg	brav
Ovce	Ncfpn	ovca
•	X	•
nE	Qz	ne
imAl	Vmp-sm	imati
nIkoj	Pi3m-n	niko
slUžbenik	Ncmsn	službenik
nIti	Cc	niti
penzionEr	Ncmsn	penzioner
.	Z	.

e	I	e
pOd	Sa	pod
zEmlju	Ncfsa	zemlja
.	Z	.

kr/	Qr	kr/
.	Z	.

trOšak	Ncmsn	trošak
.	Z	.

kO	Pi3m-n	ko
je	Var3s	biti
bAš	Rgp	baš
.	Z	.

a	Cc	a
pa	Cc	pa
radEla	Vcr3s	radelbiti
dObro	Rgp	dobro
.	Z	.

svE	Pi-nsn	sav
mOguće	Agpnsny	moguć
.	Z	.

i	Cc	i
bilI	Vmp-pm	biti
smo	Var1p	biti
uzEli	Vmp-pm	uzeti
č/	Ncnsa	č/

el	Qq	jel
čEtri	Mlc	četiri
krAve	Ncfpn	krava
bEše	Vce3s	biti
.	Z	.

pa	Cc	pa
smo	Var1p	biti
pOsle	Sg	posle
pEt	Mlc	pet
gOdine	Ncfpn	godina
vraćAli	Vmp-pm	vraćati
.	Z	.

po	Sa	po
junICu	Ncfsa	junica
.	Z	.

ta	Cc	ta
ni	Qo	ni
tOj	Pd-nsn	taj
/	Z	/

i	Cc	i
tOj	Pd-nsn	taj
ni	Cc	ni
pomOglo	Vmp-sn	pomoći
.	Z	.

pravIli	Vmp-pm	praviti
smo	Var1p	biti
svAdbu	Ncfsa	svadba
na	Sa	na
sIna	Ncmsay	sin
pa	Cc	pa
smo	Var1p	biti
se	Px--sa	sebe
otrošIli	Vmp-pm	otrošiti
i	Cc	i
tAk	Rgp	tako
tO	Pd-nsn	taj
uzEmo	Vmr1p	uzeti
.	Z	.

ta	Cs	da
smo	Var1p	biti
•	X	•
krEnuli	Vmp-pm	krenuti
.	Z	.

kakvO	Pi-nsn	kakav
trebAlo	Vmpn	trebati
da	Cs	da
se	Pxsa	sebe
nabAvlja	Vmr3s	nabavljati
i	Cc	i
da	Cs	da
se	Px--sa	sebe
živI	Vmr3s	živeti
.	Z	.

po	Sa	po
svAdbe	Ncfpa	svadba
.	Z	.

i	Cc	i
verIdbe	Ncfpn	veridba
i	Cc	i
•	X	•
Ispraćaji	Ncmpn	ispraćaj
.	Z	.

smo	Var1p	biti
praIli	Vmp-pm	praviti
na	Sa	na
